년,월,업종코드,업종명,매출액
2020,5,8203,영화.공연장,272000
2020,5,8302,골프장,4016500
2020,5,8305,헬스클럽,67242970
2020,5,8308,당구장,4028900
2020,5,8309,골프연습장,26593300
2020,5,8310,기타취미.레저.스포츠,202255352
2020,5,8401,오락실/PC방,3592200
2020,5,8402,노래방,5249000
2020,5,8405,사우나.목욕탕.찜질방,23002000
2020,5,8406,기타대인서비스,3560000
2020,5,8501,기타요금,116800
2020,5,8503,종합레저타운,3371000
2020,5,9204,공과금,649790
2020,5,9301,이사/화물운송업,4650500
2020,5,9303,택배서비스,53070
2020,5,9305,기타운송기구,4094070
2020,5,9306,창고보관업,54100
2020,5,9402,판촉물.인쇄.복사,6321950
2020,5,9407,기계.장비(기타),1920302
2020,5,9502,법무전문서비스,1165000
2020,5,9503,세무전문서비스,4160000
2020,5,9504,광고기획.대행업,1060000
2020,5,9511,기타전문서비스,9029200
2020,5,9602,기타서비스,58451140
2020,5,9801,각종단체회비,1460000
2020,5,9906,종교시설 기부,784000
2020,6,1101,양복점.한복점,44921900
2020,6,1104,아동.유아복,85568537
2020,6,1106,일반의류,782157652
2020,6,1107,스포츠용품점,195836462
2020,6,1108,모피.무스탕,1755780
2020,6,1110,내의류,132340476
2020,6,1111,교복,24389700
2020,6,1112,의류관련(기타),8758100
2020,6,1201,커튼.카펫.수건,107951160
2020,6,1202,침구및수예품,307486690
2020,6,1301,세탁업,184595320
2020,6,1401,기타잡화,151747956
2020,6,1402,시계.귀금속,205365220
2020,6,1403,안경.광학제품,701771584
2020,6,1404,구두.신발,43141040
2020,6,1405,가방.핸드백,10859952
2020,6,1407,가발,19055040
2020,6,1501,화장품,499193430
2020,6,1503,미용재료,32789014
2020,6,1601,이발소,11281000
2020,6,1602,미용실(두발전문),1395806954
2020,6,1701,피부.체형미관리,427764840
2020,6,2102,"축산물,정육점",1522219096
2020,6,2103,"수산물,건어물",478489780
2020,6,2104,"농산물,청과물",1016345511
2020,6,2105,기타식음료품,1271101713
2020,6,2201,건강보조식품,159486120
2020,6,2202,인삼전문점,46243988
2020,6,2203,한국인삼공사,31162200
2020,6,2301,일반음식점,10856710513
2020,6,2302,중식전문점,887251433
2020,6,2303,일식전문점,642053066
